iter	Logloss
271	0.2593889838
272	0.2593635283
273	0.2593387185
274	0.259302077
275	0.2592800374
276	0.2592568402
277	0.2592311675
278	0.2592073799
279	0.2591638764
280	0.2591349769
281	0.2591083225
282	0.2590889581
283	0.2590708989
284	0.2590477368
285	0.2590268489
286	0.2590080836
287	0.2589897601
288	0.2589615628
289	0.2589358913
290	0.2589046504
291	0.2588767501
292	0.2588526021
293	0.2588184871
294	0.2587956115
295	0.2587737899
296	0.2587533927
297	0.2587281694
298	0.2587108689
299	0.2586843902
300	0.2586614833
301	0.2586370512
302	0.2586065108
303	0.2585933218
304	0.2585657
305	0.2585435168
306	0.2585219611
307	0.2584970307
308	0.2584623741
309	0.2584316612
310	0.2584081922
311	0.2583890518
312	0.2583698594
313	0.2582697747
314	0.258255989
315	0.2582316334
316	0.2582093223
317	0.2581853714
318	0.2581579166
319	0.25813805
320	0.2581184186
321	0.2580964745
322	0.2580767805
323	0.2580584226
324	0.2580268462
325	0.2579938919
326	0.2579579521
327	0.2579375706
328	0.2579164857
329	0.2578944304
330	0.2578761269
331	0.2578549185
332	0.2578282768
333	0.2578026084
334	0.2577844555
335	0.2577664042
336	0.2577485512
337	0.2577297748
338	0.2577071928
339	0.2576881675
340	0.2576644822
341	0.2576463328
342	0.2576290002
343	0.2576090471
344	0.2575885244
345	0.2575665476
346	0.2575438966
347	0.25751938
348	0.2574901076
349	0.2574680672
350	0.2574454658
351	0.2574224521
352	0.2574020032
353	0.257375661
354	0.25736069
355	0.2573427201
356	0.2573216202
357	0.2572997872
358	0.2572741981
359	0.257253953
360	0.2572420986
361	0.2572194463
362	0.2571840266
363	0.257166928
364	0.2571454879
365	0.2571212961
366	0.257100741
367	0.2570759916
368	0.2570526714
369	0.257032557
370	0.2570083884
371	0.256983135
372	0.2569705388
373	0.2569476092
374	0.2569288051
375	0.2569019262
376	0.2568671479
377	0.256848706
378	0.2568182213
379	0.2567909092
380	0.2567738351
381	0.2567459691
382	0.2567235796
383	0.256702497
384	0.2566705651
385	0.2566518621
386	0.2566317804
387	0.2566127419
388	0.256593032
389	0.2565749553
390	0.2565536283
391	0.2565306814
392	0.256514716
393	0.2564942925
394	0.2564763042
395	0.2564535944
396	0.2564361231
397	0.2564161327
398	0.2563936979
399	0.2563798706
400	0.2563569216
401	0.2563301111
402	0.2563058051
403	0.2562921336
404	0.2562739102
405	0.2562535641
406	0.2562315128
407	0.2561990865
408	0.2561811871
409	0.2561609848
410	0.2561363724
411	0.256117694
412	0.2560936081
413	0.2560768941
414	0.2560564895
415	0.2560374374
416	0.2560194403
417	0.2559908293
418	0.2559727834
419	0.2559508302
420	0.2559344609
421	0.2559103375
422	0.2558820425
423	0.2558593673
424	0.2558402184
425	0.2558268174
426	0.2558029217
427	0.2557866198
428	0.2557671455
429	0.2557529221
430	0.2557318512
431	0.255705531
432	0.255681277
433	0.2556558626
434	0.255622666
435	0.2556031994
436	0.2555854628
437	0.2555709824
438	0.2555503211
439	0.2555263285
440	0.2555077122
441	0.2554833115
442	0.2554661627
443	0.255444996
444	0.2554272101
445	0.2554073995
446	0.2553900856
447	0.2553741315
448	0.2553579284
449	0.2553372898
450	0.2553185419
451	0.2552947788
452	0.2552779829
453	0.2552473457
454	0.2552289191
455	0.2552099336
456	0.2551924434
457	0.2551771195
458	0.2551526164
459	0.2551339093
460	0.255119596
461	0.2550967215
462	0.2550691791
463	0.255049626
464	0.2550262216
465	0.2550116535
466	0.2549895755
467	0.2549735306
468	0.2549493422
469	0.2549335364
470	0.2549133882
471	0.2548999634
472	0.2548816604
473	0.254864343
474	0.2548485909
475	0.2548314856
476	0.2548130268
477	0.2547939362
478	0.2547779177
479	0.254758695
480	0.254736159
481	0.2547178144
482	0.2547004007
483	0.2546835604
484	0.2546652655
485	0.2546515706
486	0.2546305943
487	0.2546131273
488	0.2545974578
489	0.254577497
490	0.2545464176
491	0.254530107
492	0.2545045694
493	0.2544856571
494	0.2544684586
495	0.2544517695
496	0.2543828859
497	0.2543627348
498	0.2543417622
499	0.2543260774
500	0.2543066921
501	0.2542908825
502	0.2542771548
503	0.2542576773
504	0.254241522
505	0.2542189553
506	0.254204864
507	0.2541911183
508	0.2541678513
509	0.2541510756
510	0.2541332582
511	0.2541180145
512	0.2540991604
513	0.2540804391
514	0.2540598222
515	0.2540398804
516	0.2540223368
517	0.2540102487
518	0.2539928119
519	0.2539853618
520	0.2539686253
521	0.2539430746
522	0.2539209524
523	0.2538978348
524	0.2538821101
525	0.2538645293
526	0.2538542593
527	0.2538378652
528	0.2538163982
529	0.2537999867
530	0.253788414
531	0.2537623893
532	0.2537509378
533	0.253735505
534	0.2537116781
535	0.2536865851
536	0.2536731025
537	0.2536530523
538	0.2536399121
539	0.2536216069
540	0.2536006921
541	0.2535812268
542	0.2535695289
543	0.2535529817
544	0.2535282757
545	0.2535034138
546	0.2534813689
547	0.2534672898
548	0.2534480063
549	0.2534322074
550	0.253418344
551	0.25340106
552	0.2533793932
553	0.2533628781
554	0.2533503582
555	0.2533361405
556	0.2533192686
557	0.2533007084
558	0.2532840839
559	0.2532719856
560	0.253254765
561	0.2532325058
562	0.2532103106
563	0.2531993767
564	0.2531809513
565	0.2531623321
566	0.2531433524
567	0.2531227046
568	0.2531033557
569	0.2530833803
570	0.2530665666
571	0.2530478063
572	0.2530308172
573	0.2530085682
574	0.2529887904
575	0.2529646413
576	0.2529450183
577	0.2529298302
578	0.2529104724
579	0.2528923364
580	0.2528693281
581	0.2528482066
582	0.2528414397
583	0.2528226513
584	0.2528112649
585	0.2527916822
586	0.2527746368
587	0.2527499682
588	0.2527315488
589	0.2527077583
590	0.2526835674
591	0.2526722109
592	0.252660235
593	0.2526349112
594	0.252620351
595	0.2526040257
596	0.2525887162
597	0.252569566
598	0.252549858
599	0.2525285649
600	0.2525047969
601	0.2524840697
602	0.2524648354
603	0.2524457545
604	0.2524219549
605	0.2524067437
606	0.2523917789
607	0.2523742905
608	0.2523498425
609	0.252327031
610	0.2523045136
611	0.2522893416
612	0.25227551
613	0.2522585836
614	0.2522449717
615	0.2522246584
616	0.2522087213
617	0.2521896129
618	0.2521759085
619	0.2521616075
620	0.2521366145
621	0.252124488
622	0.2521087627
623	0.2520953363
624	0.2520793359
625	0.2520557554
626	0.2520421075
627	0.2520221307
628	0.2520043803
629	0.2519854905
630	0.2519740425
631	0.2519617708
632	0.2519452145
633	0.2519296537
634	0.2519060977
635	0.2518896242
636	0.2518718058
637	0.25185267
638	0.2518407434
639	0.251823929
640	0.2518114137
641	0.2517856096
642	0.2517551057
643	0.2517437478
644	0.2517190144
645	0.2517037202
646	0.2516827454
647	0.2516638189
648	0.2516428567
649	0.2516223596
650	0.2516085948
651	0.2515995907
652	0.2515801753
653	0.2515594843
654	0.251540762
655	0.2515212789
656	0.2514996661
657	0.2514882945
658	0.2514737615
659	0.2514597754
660	0.2514465785
661	0.2514320811
662	0.2514152873
663	0.2514030503
664	0.251390015
665	0.2513780544
666	0.2513650694
667	0.2513430246
668	0.2513304206
669	0.2513130183
670	0.2513024543
671	0.2512875857
672	0.2512708154
673	0.2512497575
674	0.2512382591
675	0.2512178801
676	0.251196583
677	0.2511789137
678	0.2511620698
679	0.251145381
680	0.2511310639
681	0.2511203829
682	0.2511024118
683	0.2510851492
684	0.2510718356
685	0.251057719
686	0.2510392525
687	0.2510161945
688	0.2509997796
689	0.2509843502
690	0.2509725281
691	0.2509581945
692	0.2509389977
693	0.2509185746
694	0.2509019352
695	0.2508850032
696	0.2508656283
697	0.2508525032
698	0.2508309485
699	0.2508136959
700	0.2507940065
701	0.2507830329
702	0.2507679798
703	0.2507554881
704	0.2507457586
705	0.2507277869
706	0.2507118794
707	0.250695485
708	0.2506829342
709	0.250666059
710	0.2506507802
711	0.2506378491
712	0.2506248601
713	0.2506068321
714	0.2505915823
715	0.2505800833
716	0.2505602577
717	0.2505437405
718	0.2505314388
719	0.2505163548
720	0.2505010358
721	0.2504905526
722	0.2504689286
723	0.2504527521
724	0.2504359962
725	0.2504254705
726	0.2504120977
727	0.2503953899
728	0.2503727823
729	0.2503560917
730	0.2503361905
731	0.2503171689
732	0.2503031111
733	0.2502814241
734	0.2502620095
735	0.2502491102
736	0.2502328521
737	0.2502067047
738	0.2501911539
739	0.2501778211
740	0.2501625648
741	0.2501485454
742	0.2501362222
743	0.2501215677
744	0.250099803
745	0.2500832043
746	0.2500740987
747	0.2500554985
748	0.2500383804
749	0.2500152098
750	0.2500037108
751	0.2499841995
752	0.2499691522
753	0.2499526566
754	0.2499372558
755	0.2499233976
756	0.2499080638
757	0.2498905647
758	0.2498695937
759	0.249849813
760	0.2498260831
761	0.2498145544
762	0.2498006957
763	0.2497809859
764	0.2497648327
765	0.2497495449
766	0.2497332265
767	0.2497146842
768	0.2497056304
769	0.249688817
770	0.2496692831
771	0.2496448906
772	0.2496317763
773	0.2496138593
774	0.2495977206
775	0.249585418
776	0.2495699675
777	0.2495582569
778	0.2495432371
779	0.2495240657
780	0.2495021347
781	0.2494846869
782	0.2494671135
783	0.2494506665
784	0.2494321584
785	0.2494153826
786	0.249395678
787	0.2493817321
788	0.2493695766
789	0.2493561037
790	0.2493390475
791	0.2493255239
792	0.2493121803
793	0.2493001159
794	0.2492889582
795	0.24927604
796	0.2492591111
797	0.2492450734
798	0.2492310128
799	0.2491887051
800	0.2491738386
801	0.2491593976
802	0.2491389561
803	0.2491175882
804	0.249102071
805	0.2490880002
806	0.2490688706
807	0.249055325
808	0.2490380602
809	0.2490219941
810	0.2489992711
811	0.2489858049
812	0.24896684
813	0.2489551299
814	0.2489391428
815	0.2489150408
816	0.2489006728
817	0.2488807582
818	0.2488626385
819	0.2488493131
820	0.2488351771
821	0.2488209879
822	0.2488038877
823	0.2487831632
824	0.2487704285
825	0.2487562286
826	0.2487420384
827	0.248723035
828	0.2487036274
829	0.248691015
